"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2012","15.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2013","13.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2014","11.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2015","9.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2016","8.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2017","6.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2018","5.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2019","5.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","372","IRL","Ирландия","2020","5.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2005","2.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2006","2.8",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2007","2.3",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2008","2.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2009","7.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2010","7.6",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2011","7.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2012","6.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2013","5.4",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2014","4.9",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2015","4.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2016","3.0",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2017","2.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2018","2.7",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2019","3.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","352","ISL","Исландия","2020","5.5",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2005","9.2",
"43","Уровень безработицы, %","Уровень безработицы","Проценты","724","ESP","Испания","2006","8.5",
